City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Berezovyy,100,RU,1569987079,95,51.67,135.7,47.78,8.39
Pangody,100,RU,1569987079,97,65.85,74.49,37.86,9.22
Kudahuvadhoo,83,MV,1569987079,77,2.67,72.89,82.49,15.32
Tura,100,RU,1569987079,70,64.27,100.22,31.71,7.72
Coruripe,0,BR,1569987079,96,-10.12,-36.18,68.93,5.37
Amherst,75,US,1569987037,94,42.98,-78.8,70,9.17
Comodoro Rivadavia,0,AR,1569987079,80,-45.87,-67.48,33.8,1.52
Whitianga,89,NZ,1569987080,87,-36.83,175.7,57,10
Caravelas,7,BR,1569987080,76,-17.73,-39.27,71.38,8.9
Prince Rupert,90,CA,1569987080,81,54.32,-130.32,50,10.29
Naze,100,NG,1569987080,97,5.43,7.07,72.68,3.6
Ulaangom,66,MN,1569987080,27,49.98,92.07,39.86,10.87
Ustyuzhna,67,RU,1569987080,90,58.84,36.43,41.66,8.55
Golden,90,US,1569986806,93,39.76,-105.22,50,5.82
Mocuba,100,MZ,1569987081,88,-16.84,36.99,73.88,5.77
Jawa,95,ID,1569987081,67,5.32,95.93,83.19,1.19
Nouakchott,0,MR,1569987081,88,18.08,-15.98,78.8,6.93
Banyo,100,CM,1569987081,99,6.75,11.81,63.19,2.91
Guisa,90,CU,1569987081,100,20.25,-76.54,73.4,6.93
Diamantina,0,BR,1569987082,73,-18.24,-43.6,66.75,9.84
Yar-Sale,91,RU,1569986912,93,66.83,70.83,37.7,8.75
Kamenka,0,MD,1569987082,63,48.03,28.7,52.91,6.6
Ilhabela,0,BR,1569987082,87,-23.78,-45.36,70.41,16.84
Ushtobe,0,KZ,1569987082,33,45.25,77.98,44.78,17.16
Pochutla,75,MX,1569987082,69,15.74,-96.47,82.4,3.02
Oktyabrskoye,40,RU,1569987083,55,56.73,85.44,42.01,15.66
Shihezi,99,CN,1569987083,40,44.3,86.03,52.7,10.2
Wum,100,CM,1569987083,97,6.39,10.08,65.22,2.51
Mastic Beach,1,US,1569987083,83,40.77,-72.85,72,10.29
Novyy Buh,0,UA,1569987083,81,47.69,32.52,44.6,6.26
Beruwala,83,LK,1569987084,75,6.48,79.98,81.21,6.22
Ko Samui,20,TH,1569987084,63,9.54,99.94,91.4,5.82
Tromso,40,NO,1569987084,51,69.65,18.96,39.2,18.34
Mancheral,29,IN,1569987084,83,18.87,79.43,79.3,4.29
Selma,67,US,1569987033,61,32.41,-87.02,82.4,6.4
Fraga,0,ES,1569987085,82,41.52,0.35,63,9.17
Sistranda,75,NO,1569987085,93,63.73,8.83,48,3.36
Kaspiyskiy,2,RU,1569987004,86,45.39,47.37,61.7,7.83
Vilhena,100,BR,1569987005,82,-12.74,-60.15,70.25,0.63
Lazaro Cardenas,40,MX,1569987085,83,28.39,-105.62,73.99,0.56
Burnie,30,AU,1569987085,50,-41.05,145.91,64.99,1.99
Clonakilty,20,IE,1569987086,93,51.62,-8.87,41,8.05
Alice,0,ZA,1569987016,89,-32.79,26.83,48.93,3.74
Abu Dhabi,0,AE,1569986917,55,24.47,54.37,86,6.93
Kirakira,99,SB,1569986970,80,-10.46,161.92,80.87,10.04
Venice,1,US,1569987072,78,27.1,-82.45,80.01,10.29
Kayerkan,75,RU,1569987086,81,69.35,87.76,32,11.18
Adwa,100,ET,1569987086,79,14.16,38.9,61.05,2.1
Sangar,62,RU,1569987086,70,63.92,127.47,30.59,12.06
Ban Nahin,28,LA,1569987087,57,18.24,104.21,85.26,2.39
Eustis,90,US,1569987087,100,40.66,-100.03,48.2,10.29
Svetlogorsk,40,RU,1569987087,80,53.14,59.15,35.6,4.47
Meridian,90,US,1569987087,43,43.61,-116.39,51.8,3.36
Kushima,75,JP,1569987087,88,31.5,131.29,80.6,11.41
Mogok,100,MM,1569987087,95,22.92,96.51,73.67,1.19
Soma,0,JP,1569987088,61,37.8,140.92,82.99,8.05
Odienne,98,CI,1569987088,91,9.51,-7.57,72.23,3.22
Vestmannaeyjar,64,IS,1569987088,73,63.44,-20.27,47.76,16.46
Almaznyy,20,RU,1569987089,100,48.03,40.04,50,4.47
North Platte,90,US,1569987089,87,41.12,-100.77,46.4,6.93
Vangaindrano,100,MG,1569987089,95,-23.35,47.6,71.67,1.97
Tarumovka,0,RU,1569987089,85,44.07,46.54,60.71,2.01
Karaman,0,TR,1569987089,41,37.18,33.22,55.61,1.57
Rosita,100,NI,1569987090,97,13.92,-84.4,73.29,2.42
Gizo,20,IL,1569987090,78,31.8,34.94,73.4,4.7
Konstantinovskiy,0,RU,1569987090,93,57.83,39.59,39.2,6.71
Maragogi,31,BR,1569987049,89,-9.01,-35.22,70.34,2.8
Agirish,100,RU,1569987090,88,61.92,63.02,48,13.27
Rafai,100,CF,1569987090,98,4.95,23.92,68.28,1.59
Collie,58,AU,1569987090,65,-33.36,116.15,61,3
Angol,27,CL,1569987091,94,-37.8,-72.71,36.39,1.95
Zambezi,100,ZM,1569987091,27,-13.55,23.12,57.72,2.15
Lovozero,93,RU,1569987091,88,68.01,35.02,31.02,15.79
Kathu,43,ZA,1569987091,44,-27.7,23.05,43,8.55
Strelka,96,RU,1569987092,84,58.08,93.03,36.53,8.25
Belousovka,40,KZ,1569987092,86,50.13,82.52,30.2,2.24
Gashua,51,NG,1569987092,55,12.87,11.04,82.49,8.46
Loksa,75,EE,1569987092,93,59.58,25.72,46,14.99
Nuuk,72,GL,1569987092,74,64.17,-51.74,37.4,13.87
Bundaberg,75,AU,1569987092,53,-24.87,152.35,77,18.34
Coxim,68,BR,1569987092,46,-18.5,-54.75,83.71,3.2
Wangkui,3,CN,1569987093,51,46.83,126.5,73.97,8.63
Kavaratti,20,IN,1569987093,74,10.57,72.64,84.2,2.46
Zhanaozen,100,KZ,1569987093,36,43.35,52.85,54.24,12.26
Valdivia,0,CL,1569987071,100,-39.81,-73.25,33.8,2.24
Canillo,26,FR,1569987093,67,42.57,1.6,60.01,6.76
Flin Flon,0,CA,1569987094,63,54.77,-101.88,31.89,4.32
Krasnyy Chikoy,100,RU,1569987094,61,50.36,108.75,34.64,5.73
Aksha,100,RU,1569987094,38,50.28,113.29,39.61,7.38
Shingu,75,JP,1569987095,65,33.72,135.99,80.6,8.05
Manado,20,ID,1569987095,55,1.49,124.85,89.6,6.93
Roald,100,NO,1569987095,93,62.58,6.12,44.6,9.17
Veraval,90,FR,1569987095,93,49.65,0.71,55.99,14.99
Port Hardy,90,CA,1569987095,76,50.7,-127.42,51.8,3.36
Bintulu,75,MY,1569987095,83,3.17,113.03,80.6,3.36
Bilibino,96,RU,1569987096,92,68.06,166.44,15.4,3.51
Excelsior Springs,90,US,1569987096,61,39.34,-94.23,80.6,10.29
Kinablangan,8,PH,1569987096,65,7.69,126.55,83.58,6.67
Wadi Maliz,0,TN,1569987096,93,36.47,8.55,60.8,4.7
Bien Hoa,75,VN,1569986940,70,10.95,106.82,87.8,2.24
Mahajanga,20,MG,1569987096,69,-15.72,46.32,73.4,4.7
Batemans Bay,32,AU,1569987096,73,-35.71,150.18,75,5.01
Aschaffenburg,90,DE,1569987097,87,49.97,9.15,59,6.93
Panguna,100,PG,1569987097,75,-6.32,155.48,82.88,9.89
Corn Island,75,NI,1569987097,67,12.17,-83.04,84.07,6.15
Areosa,75,PT,1569987097,100,41.72,-8.86,63,11.97
Groningen,57,NL,1569987097,93,53.22,6.57,50,4.7
Potrerillos Abajo,20,PA,1569987098,100,8.64,-82.49,75.2,1.12
Boende,100,CD,1569987098,90,-0.28,20.88,70.32,2.04
Great Yarmouth,0,GB,1569987098,76,52.61,1.73,48.2,4.7
Necochea,97,AR,1569987098,82,-38.55,-58.74,50,10
Phan Thiet,100,VN,1569987098,67,10.93,108.1,85.04,2.89
Longonjo,100,AO,1569987098,95,-12.91,15.25,57.2,0.85
Mehamn,75,NO,1569987099,64,71.03,27.85,37.4,13.87
Sur,0,OM,1569987099,58,22.57,59.53,83.75,11.41
Tilichiki,9,RU,1569987099,54,60.47,166.1,39.45,17.54
Sisimiut,33,GL,1569987099,74,66.94,-53.67,39.75,7.65
Saint-Augustin,90,CA,1569987099,100,45.63,-73.98,64,6.93
Blagoyevo,100,RU,1569987100,80,63.37,47.92,46.05,13.98
Bambanglipuro,38,ID,1569987100,88,-7.95,110.28,74.93,15.12
Okhotsk,97,RU,1569987100,85,59.36,143.24,40.04,13.2
Nyurba,96,RU,1569987100,66,63.29,118.35,33.02,7.23
Dwarka,3,IN,1569987100,78,28.58,77.04,86,5.82
Villa Maria,40,CO,1569987101,93,4.5,-74.09,77,4.7
Ohafia,100,NG,1569987101,97,5.62,7.83,72.41,3.83
Pervouralsk,0,RU,1569987101,70,56.9,59.94,44.6,8.95
Nassau,8,AT,1569987101,100,46.81,15.34,62.6,3.36
Esik,20,KZ,1569987101,48,43.36,77.47,42.8,4.47
Rocha,100,UY,1569987102,97,-34.48,-54.34,54.8,14.9
Fossano,100,IT,1569987102,90,44.55,7.72,64.99,3.71
Jais,92,IN,1569987102,87,26.27,81.55,76.47,5.01
Vilyuysk,0,RU,1569987102,52,63.75,121.63,33.08,8.03
Paciran,14,ID,1569987102,35,-6.9,112.33,92.8,8.01
Kirkuk,4,IQ,1569987102,22,35.47,44.4,77.3,8.7
Ryotsu,33,JP,1569987103,61,38.08,138.43,78.8,8.05
Ayutla,92,MX,1569987103,97,20.13,-104.35,61.66,1.77
Souris,90,CA,1569987103,81,46.36,-62.25,52,12.75
Grand Bank,80,CA,1569987103,67,47.1,-55.77,43.97,14.38
Eureka,1,US,1569986899,87,40.8,-124.16,50,3.36
Tucupita,100,VE,1569987103,92,9.06,-62.05,75.29,5.06
Midleton,20,IE,1569987103,93,51.91,-8.17,41,8.05
Lola,96,GN,1569987104,99,7.8,-8.53,69.6,3.94
Miraflores,40,PE,1569987104,81,-16.39,-71.52,50,4.7
Mantua,100,IT,1569987104,93,45.16,10.79,66,3.36
